날짜,종가
2013-09-26,15273.26
2013-09-27,15328.3
2013-09-30,15258.24
2013-10-01,15129.67
2013-10-02,15191.7
2013-10-03,15133.14
2013-10-04,14996.48
2013-10-07,15072.58
2013-10-08,14936.24
2013-10-09,14776.53
2013-10-10,14802.98
2013-10-11,15126.07
2013-10-14,15237.11
2013-10-15,15301.26
2013-10-16,15168.01
2013-10-17,15373.83
2013-10-18,15371.65
2013-10-21,15399.65
2013-10-22,15392.2
2013-10-23,15467.66
2013-10-24,15413.33
2013-10-25,15509.21
2013-10-28,15570.28
2013-10-29,15568.93
2013-10-30,15680.35
2013-10-31,15618.76
2013-11-01,15545.75
2013-11-04,15615.55
2013-11-05,15639.12
2013-11-06,15618.22
2013-11-07,15746.88
2013-11-08,15593.98
2013-11-11,15761.78
2013-11-12,15783.1
2013-11-13,15750.67
2013-11-14,15821.63
2013-11-15,15876.22
2013-11-18,15961.7
2013-11-19,15976.02
2013-11-20,15967.03
2013-11-21,15900.82
2013-11-22,16009.99
2013-11-25,16064.77
2013-11-26,16072.54
2013-11-27,16072.8
2013-11-29,16097.33
2013-12-02,16086.41
2013-12-03,16008.77
2013-12-04,15914.62
2013-12-05,15889.77
2013-12-06,15821.51
2013-12-09,16020.2
2013-12-10,16025.53
2013-12-11,15973.13
2013-12-12,15843.53
2013-12-13,15739.43
2013-12-16,15755.36
2013-12-17,15884.57
2013-12-18,15875.26
2013-12-19,16167.97
2013-12-20,16179.08
2013-12-23,16221.14
2013-12-24,16294.61
2013-12-26,16357.55
2013-12-27,16479.88
2013-12-30,16478.41
2013-12-31,16504.29
2014-01-02,16576.66
2014-01-03,16441.35
2014-01-06,16469.99
2014-01-07,16425.1
2014-01-08,16530.94
2014-01-09,16462.74
2014-01-10,16444.76
2014-01-13,16437.05
2014-01-14,16257.94
2014-01-15,16373.86
2014-01-16,16481.94
2014-01-17,16417.01
2014-01-21,16458.56
2014-01-22,16414.44
2014-01-23,16373.34
2014-01-24,16197.35
2014-01-27,15879.11
2014-01-28,15837.88
2014-01-29,15928.56
2014-01-30,15738.79
2014-01-31,15848.61
2014-02-03,15698.85
2014-02-04,15372.8
2014-02-05,15445.24
2014-02-06,15440.23
2014-02-07,15628.53
2014-02-10,15794.08
2014-02-11,15801.79
2014-02-12,15994.77
2014-02-13,15963.94
2014-02-14,16027.59
2014-02-18,16154.39
2014-02-19,16130.4
2014-02-20,16040.56
2014-02-21,16133.23
2014-02-24,16103.3
2014-02-25,16207.14
2014-02-26,16179.66
2014-02-27,16198.41
2014-02-28,16272.65
2014-03-03,16321.71
2014-03-04,16168.03
2014-03-05,16395.88
2014-03-06,16360.18
2014-03-07,16421.89
2014-03-10,16452.72
2014-03-11,16418.68
2014-03-12,16351.25
2014-03-13,16340.08
2014-03-14,16108.89
2014-03-17,16065.67
2014-03-18,16247.22
2014-03-19,16336.19
2014-03-20,16222.17
2014-03-21,16331.05
2014-03-24,16302.77
2014-03-25,16276.69
2014-03-26,16367.88
2014-03-27,16268.99
2014-03-28,16264.23
2014-03-31,16323.06
2014-04-01,16457.66
2014-04-02,16532.61
2014-04-03,16573
2014-04-04,16572.55
2014-04-07,16412.71
2014-04-08,16245.87
2014-04-09,16256.14
2014-04-10,16437.18
2014-04-11,16170.22
2014-04-14,16026.75
2014-04-15,16173.24
2014-04-16,16262.56
2014-04-17,16424.85
2014-04-21,16408.54
2014-04-22,16449.25
2014-04-23,16514.37
2014-04-24,16501.65
2014-04-25,16501.65
2014-04-28,16361.46
