적용일자,총수익지수,전일대비,순가격지수,전일대비
2012-01-11,138.47,0.02,105.64,0.01
2012-01-12,138.5,0.03,105.65,0.01
2012-01-13,138.56,0.06,105.67,0.02
2012-01-16,138.63,0.07,105.71,0.04
2012-01-17,138.54,-0.09,105.63,-0.08
2012-01-18,138.64,0.1,105.69,0.06
2012-01-19,138.56,-0.08,105.62,-0.07
2012-01-20,138.43,-0.13,105.47,-0.15
2012-01-25,138.53,0.1,105.53,0.06
2012-01-26,138.52,-0.01,105.52,-0.01
2012-01-27,138.64,0.12,105.58,0.06
2012-01-30,138.86,0.22,105.74,0.16
2012-01-31,138.83,-0.03,105.7,-0.04
2012-02-01,138.88,0.05,105.73,0.03
2012-02-02,138.82,-0.06,105.68,-0.05
2012-02-03,138.84,0.02,105.65,-0.03
2012-02-06,138.77,-0.07,105.6,-0.05
2012-02-07,138.65,-0.12,105.49,-0.11
2012-02-08,138.54,-0.11,105.4,-0.09
2012-02-09,138.52,-0.02,105.37,-0.03
2012-02-10,138.57,0.05,105.38,0.01
2012-02-13,138.59,0.02,105.38,0
2012-02-14,138.66,0.07,105.42,0.04
2012-02-15,138.59,-0.07,105.36,-0.06
2012-02-16,138.73,0.14,105.46,0.1
2012-02-17,138.64,-0.09,105.36,-0.1
2012-02-20,138.54,-0.1,105.27,-0.09
2012-02-21,138.6,0.06,105.31,0.04
2012-02-22,138.61,0.01,105.3,-0.01
2012-02-23,138.75,0.14,105.4,0.1
2012-02-24,138.75,0,105.37,-0.03
2012-02-27,138.85,0.1,105.44,0.07
2012-02-28,138.93,0.08,105.48,0.04
2012-02-29,138.92,-0.01,105.45,-0.03
2012-03-02,138.71,-0.21,105.26,-0.19
2012-03-05,138.66,-0.05,105.21,-0.05
2012-03-06,138.63,-0.03,105.18,-0.03
2012-03-07,138.66,0.03,105.2,0.02
2012-03-08,138.78,0.12,105.27,0.07
2012-03-09,138.71,-0.07,105.19,-0.08
2012-03-12,138.88,0.17,105.31,0.12
2012-03-13,138.91,0.03,105.32,0.01
2012-03-14,138.74,-0.17,105.18,-0.14
2012-03-15,138.43,-0.31,104.93,-0.25
2012-03-16,138.34,-0.09,104.83,-0.1
2012-03-19,138.17,-0.17,104.69,-0.14
2012-03-20,138.21,0.04,104.71,0.02
2012-03-21,138.06,-0.15,104.59,-0.12
2012-03-22,138.02,-0.04,104.55,-0.04
2012-03-23,138,-0.02,104.5,-0.05
2012-03-26,138.16,0.16,104.61,0.11
2012-03-27,138.2,0.04,104.63,0.02
2012-03-28,138.38,0.18,104.76,0.13
2012-03-29,138.51,0.13,104.85,0.09
2012-03-30,138.68,0.17,104.95,0.1
